Well,LATITUDE,LONGITUDE,Date,Value
09N03E08C001M,38.646422,-121.667487,2008-01-01,22.263
09N03E08C001M,38.646422,-121.667487,2008-02-01,22.046
09N03E08C001M,38.646422,-121.667487,2008-03-01,20.364
09N03E08C001M,38.646422,-121.667487,2008-04-01,17.522
09N03E08C001M,38.646422,-121.667487,2008-05-01,19.534
09N03E08C001M,38.646422,-121.667487,2008-06-01,19.869
09N03E08C001M,38.646422,-121.667487,2008-07-01,18.665
09N03E08C001M,38.646422,-121.667487,2008-08-01,20.317
09N03E08C001M,38.646422,-121.667487,2008-09-01,19.722
09N03E08C001M,38.646422,-121.667487,2008-10-01,19.396
09N03E08C001M,38.646422,-121.667487,2008-11-01,21.412
09N03E08C001M,38.646422,-121.667487,2008-12-01,21.822
09N03E08C001M,38.646422,-121.667487,2009-01-01,22.102
09N03E08C001M,38.646422,-121.667487,2009-02-01,21.92134097
09N03E08C001M,38.646422,-121.667487,2009-03-01,21.46485873
09N03E08C001M,38.646422,-121.667487,2009-04-01,18.845
09N03E08C001M,38.646422,-121.667487,2009-05-01,20.123
09N03E08C001M,38.646422,-121.667487,2009-06-01,21.025
09N03E08C001M,38.646422,-121.667487,2009-07-01,19.903
09N03E08C001M,38.646422,-121.667487,2009-08-01,20.448
09N03E08C001M,38.646422,-121.667487,2009-09-01,20.259
09N03E08C001M,38.646422,-121.667487,2009-10-01,19.322
09N03E08C001M,38.646422,-121.667487,2009-11-01,21.022
09N03E08C001M,38.646422,-121.667487,2009-12-01,21.893
09N03E08C001M,38.646422,-121.667487,2010-01-01,22.255
09N03E08C001M,38.646422,-121.667487,2010-02-01,22.212
09N03E08C001M,38.646422,-121.667487,2010-03-01,21.328
09N03E08C001M,38.646422,-121.667487,2010-04-01,19.734
09N03E08C001M,38.646422,-121.667487,2010-05-01,20.69
09N03E08C001M,38.646422,-121.667487,2010-06-01,21.118
09N03E08C001M,38.646422,-121.667487,2010-07-01,19.586
09N03E08C001M,38.646422,-121.667487,2010-08-01,19.537
09N03E08C001M,38.646422,-121.667487,2010-09-01,21.147
09N03E08C001M,38.646422,-121.667487,2010-10-01,19.25
09N03E08C001M,38.646422,-121.667487,2010-11-01,20.368
09N03E08C001M,38.646422,-121.667487,2010-12-01,22.048
09N03E08C001M,38.646422,-121.667487,2011-01-01,22.471
09N03E08C001M,38.646422,-121.667487,2011-02-01,21.946
09N03E08C001M,38.646422,-121.667487,2011-03-01,22.53
09N03E08C001M,38.646422,-121.667487,2011-04-01,21.464
09N03E08C001M,38.646422,-121.667487,2011-05-01,19.731
09N03E08C001M,38.646422,-121.667487,2011-06-01,21.757
09N03E08C001M,38.646422,-121.667487,2011-07-01,20.307
09N03E08C001M,38.646422,-121.667487,2011-08-01,19.624
09N03E08C001M,38.646422,-121.667487,2011-09-01,21.162
09N03E08C001M,38.646422,-121.667487,2011-10-01,20.004
09N03E08C001M,38.646422,-121.667487,2011-11-01,19.786
09N03E08C001M,38.646422,-121.667487,2011-12-01,20.915
09N03E08C001M,38.646422,-121.667487,2012-01-01,21.435
09N03E08C001M,38.646422,-121.667487,2012-02-01,21.128
09N03E08C001M,38.646422,-121.667487,2012-03-01,20.40910818
09N03E08C001M,38.646422,-121.667487,2012-04-01,20.528
09N03E08C001M,38.646422,-121.667487,2012-05-01,18.413
09N03E08C001M,38.646422,-121.667487,2012-06-01,20.173
09N03E08C001M,38.646422,-121.667487,2012-07-01,19.196
09N03E08C001M,38.646422,-121.667487,2012-08-01,19.372
09N03E08C001M,38.646422,-121.667487,2012-09-01,20.866
09N03E08C001M,38.646422,-121.667487,2012-10-01,19.518
09N03E08C001M,38.646422,-121.667487,2012-11-01,19.336
09N03E08C001M,38.646422,-121.667487,2012-12-01,21.865
09N03E08C001M,38.646422,-121.667487,2013-01-01,22.047
09N03E08C001M,38.646422,-121.667487,2013-02-01,21.213
09N03E08C001M,38.646422,-121.667487,2013-03-01,18.768
09N03E08C001M,38.646422,-121.667487,2013-04-01,17.289
09N03E08C001M,38.646422,-121.667487,2013-05-01,19.522
09N03E08C001M,38.646422,-121.667487,2013-06-01,20.627
09N03E08C001M,38.646422,-121.667487,2013-07-01,18.087
09N03E08C001M,38.646422,-121.667487,2013-08-01,18.068
09N03E08C001M,38.646422,-121.667487,2013-09-01,19.452
09N03E08C001M,38.646422,-121.667487,2013-10-01,17.83
09N03E08C001M,38.646422,-121.667487,2013-11-01,19.05
09N03E08C001M,38.646422,-121.667487,2013-12-01,20.702
09N03E08C001M,38.646422,-121.667487,2014-01-01,20.943
09N03E08C001M,38.646422,-121.667487,2014-02-01,20.76
09N03E08C001M,38.646422,-121.667487,2014-03-01,19.908
09N03E08C001M,38.646422,-121.667487,2014-04-01,18.44
09N03E08C001M,38.646422,-121.667487,2014-05-01,16.187
09N03E08C001M,38.646422,-121.667487,2014-06-01,17.13
09N03E08C001M,38.646422,-121.667487,2014-07-01,17.13
09N03E08C001M,38.646422,-121.667487,2014-08-01,18.227
09N03E08C001M,38.646422,-121.667487,2014-09-01,19.473
09N03E08C001M,38.646422,-121.667487,2014-10-01,16.606
09N03E08C001M,38.646422,-121.667487,2014-11-01,18.594
09N03E08C001M,38.646422,-121.667487,2014-12-01,21.527
09N03E08C001M,38.646422,-121.667487,2015-01-01,21.986
09N03E08C001M,38.646422,-121.667487,2015-02-01,22.04
09N03E08C001M,38.646422,-121.667487,2015-03-01,19.403
09N03E08C001M,38.646422,-121.667487,2015-04-01,16.984
09N03E08C001M,38.646422,-121.667487,2015-05-01,18.238
09N03E08C001M,38.646422,-121.667487,2015-06-01,16.967
09N03E08C001M,38.646422,-121.667487,2015-07-01,17.029
09N03E08C001M,38.646422,-121.667487,2015-08-01,18.898
09N03E08C001M,38.646422,-121.667487,2015-09-01,17.533
09N03E08C001M,38.646422,-121.667487,2015-10-01,13.177
09N03E08C001M,38.646422,-121.667487,2015-11-01,14.241
09N03E08C001M,38.646422,-121.667487,2015-12-01,18.741
09N03E08C001M,38.646422,-121.667487,2016-01-01,20.774
09N03E08C001M,38.646422,-121.667487,2016-02-01,20.979
09N03E08C001M,38.646422,-121.667487,2016-03-01,21.712
09N03E08C001M,38.646422,-121.667487,2016-04-01,20.74791867
09N03E08C001M,38.646422,-121.667487,2016-05-01,19.153
09N03E08C001M,38.646422,-121.667487,2016-06-01,20.994
09N03E08C001M,38.646422,-121.667487,2016-07-01,19.433
09N03E08C001M,38.646422,-121.667487,2016-08-01,20.428
09N03E08C001M,38.646422,-121.667487,2016-09-01,21.138
09N03E08C001M,38.646422,-121.667487,2016-10-01,17.815
09N03E08C001M,38.646422,-121.667487,2016-11-01,20.035
09N03E08C001M,38.646422,-121.667487,2016-12-01,21.505
09N03E08C001M,38.646422,-121.667487,2017-01-01,23.109
09N03E08C001M,38.646422,-121.667487,2017-02-01,24.656
09N03E08C001M,38.646422,-121.667487,2017-03-01,23.037
09N03E08C001M,38.646422,-121.667487,2017-04-01,22.479
09N03E08C001M,38.646422,-121.667487,2017-05-01,20.73
09N03E08C001M,38.646422,-121.667487,2017-06-01,22.477
09N03E08C001M,38.646422,-121.667487,2017-07-01,22.252
09N03E08C001M,38.646422,-121.667487,2017-08-01,22.274
09N03E08C001M,38.646422,-121.667487,2017-09-01,21.417
09N03E08C001M,38.646422,-121.667487,2017-10-01,19.602
09N03E08C001M,38.646422,-121.667487,2017-11-01,21.394
